-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (12484, 16, 250) Train Lable: (12484, 1)
Test Data: (446, 16, 250) Test Lable: (446, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 6242
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 6688
Number of 'non sick' samples: 6242
Maximum Value in Data Set: 99.46538543701172
Minimum Value in Data Set: -99.75249481201172
Mean Value in Data Set: -0.0094946144307636
Standard Daviation in Data Set: 9.828010093693155
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 6242
Number of 'non sick' samples: 6242
Maximum Value in Training Set: 99.46538543701172
Minimum Value in Data Set: -99.75249481201172
Mean Value in Data Set: -0.01004216031452231
Standard Daviation in Data Set: 9.803580374270512
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 446
Number of 'non sick' samples: 0
Maximum Value in Testing Set: 98.7553939819336
Minimum Value in Data Set: -84.44011688232422
Mean Value in Data Set: 0.005831759589065434
Standard Daviation in Data Set: 10.488750008130927
epoch: 34, lr: 0.01, accuracy: tensor(0.6990, device='cuda:0'), loss: 0.6057168245315552, valid accuracy: tensor(0.3722, device='cuda:0')
epoch: 35, lr: 0.01, accuracy: tensor(0.7053, device='cuda:0'), loss: 0.6001169681549072, valid accuracy: tensor(0.6883, device='cuda:0')
epoch: 36, lr: 0.01, accuracy: tensor(0.7063, device='cuda:0'), loss: 0.5938524007797241, valid accuracy: tensor(0.3161, device='cuda:0')
epoch: 37, lr: 0.01, accuracy: tensor(0.7106, device='cuda:0'), loss: 0.5826154351234436, valid accuracy: tensor(0.3453, device='cuda:0')
epoch: 38, lr: 0.01, accuracy: tensor(0.7113, device='cuda:0'), loss: 0.5698156952857971, valid accuracy: tensor(0.2422, device='cuda:0')
epoch: 39, lr: 0.01, accuracy: tensor(0.7099, device='cuda:0'), loss: 0.5697892308235168, valid accuracy: tensor(0.4327, device='cuda:0')
epoch: 40, lr: 0.01, accuracy: tensor(0.7023, device='cuda:0'), loss: 0.5683935284614563, valid accuracy: tensor(0.4327, device='cuda:0')
epoch: 41, lr: 0.01, accuracy: tensor(0.7026, device='cuda:0'), loss: 0.577524721622467, valid accuracy: tensor(0.5471, device='cuda:0')
epoch: 42, lr: 0.01, accuracy: tensor(0.7103, device='cuda:0'), loss: 0.60181725025177, valid accuracy: tensor(0.2915, device='cuda:0')
epoch: 43, lr: 0.01, accuracy: tensor(0.7009, device='cuda:0'), loss: 0.5445865988731384, valid accuracy: tensor(0.2691, device='cuda:0')
epoch: 44, lr: 0.01, accuracy: tensor(0.7033, device='cuda:0'), loss: 0.5984653234481812, valid accuracy: tensor(0.4395, device='cuda:0')
epoch: 45, lr: 0.01, accuracy: tensor(0.7211, device='cuda:0'), loss: 0.589827299118042, valid accuracy: tensor(0.4507, device='cuda:0')
epoch: 46, lr: 0.01, accuracy: tensor(0.7212, device='cuda:0'), loss: 0.5920919179916382, valid accuracy: tensor(0.4596, device='cuda:0')
epoch: 47, lr: 0.01, accuracy: tensor(0.7171, device='cuda:0'), loss: 0.5679041147232056, valid accuracy: tensor(0.3610, device='cuda:0')
epoch: 48, lr: 0.01, accuracy: tensor(0.7206, device='cuda:0'), loss: 0.6033325791358948, valid accuracy: tensor(0.4238, device='cuda:0')
epoch: 49, lr: 0.01, accuracy: tensor(0.7220, device='cuda:0'), loss: 0.5656205415725708, valid accuracy: tensor(0.4103, device='cuda:0')
epoch: 50, lr: 0.01, accuracy: tensor(0.7269, device='cuda:0'), loss: 0.6077650785446167, valid accuracy: tensor(0.4843, device='cuda:0')
epoch: 51, lr: 0.01, accuracy: tensor(0.7255, device='cuda:0'), loss: 0.5845378041267395, valid accuracy: tensor(0.3184, device='cuda:0')
epoch: 52, lr: 0.01, accuracy: tensor(0.7224, device='cuda:0'), loss: 0.5616046786308289, valid accuracy: tensor(0.3363, device='cuda:0')
epoch: 53, lr: 0.01, accuracy: tensor(0.7231, device='cuda:0'), loss: 0.5933566093444824, valid accuracy: tensor(0.6973, device='cuda:0')
epoch: 54, lr: 0.01, accuracy: tensor(0.7236, device='cuda:0'), loss: 0.5573418140411377, valid accuracy: tensor(0.5224, device='cuda:0')
epoch: 55, lr: 0.01, accuracy: tensor(0.7272, device='cuda:0'), loss: 0.5761803984642029, valid accuracy: tensor(0.3296, device='cuda:0')
epoch: 56, lr: 0.01, accuracy: tensor(0.7191, device='cuda:0'), loss: 0.5866286754608154, valid accuracy: tensor(0.5112, device='cuda:0')
epoch: 57, lr: 0.01, accuracy: tensor(0.7307, device='cuda:0'), loss: 0.565159261226654, valid accuracy: tensor(0.6278, device='cuda:0')
epoch: 58, lr: 0.01, accuracy: tensor(0.7356, device='cuda:0'), loss: 0.5515016317367554, valid accuracy: tensor(0.3677, device='cuda:0')
epoch: 59, lr: 0.01, accuracy: tensor(0.7385, device='cuda:0'), loss: 0.5675955414772034, valid accuracy: tensor(0.6861, device='cuda:0')
epoch: 60, lr: 0.01, accuracy: tensor(0.7333, device='cuda:0'), loss: 0.5872027277946472, valid accuracy: tensor(0.6121, device='cuda:0')
epoch: 61, lr: 0.01, accuracy: tensor(0.7340, device='cuda:0'), loss: 0.5573596954345703, valid accuracy: tensor(0.4933, device='cuda:0')
epoch: 62, lr: 0.01, accuracy: tensor(0.7387, device='cuda:0'), loss: 0.5392506718635559, valid accuracy: tensor(0.7780, device='cuda:0')
epoch: 63, lr: 0.01, accuracy: tensor(0.7228, device='cuda:0'), loss: 0.5714918971061707, valid accuracy: tensor(0.2422, device='cuda:0')
epoch: 64, lr: 0.01, accuracy: tensor(0.7389, device='cuda:0'), loss: 0.5463408827781677, valid accuracy: tensor(0.6031, device='cuda:0')
epoch: 65, lr: 0.01, accuracy: tensor(0.7383, device='cuda:0'), loss: 0.5448448657989502, valid accuracy: tensor(0.4798, device='cuda:0')
